# 文本key,文本value
ttdesc_content_18_102,"<TDName>[Огненная болезнь]</> Если тепло подействует 10 раз, это приведет к Огненной болезни, которая распространяется каждый день в полдень. Огненная болезнь может вызвать другие недуги. Лечение: Клиника, Источник, Самоисцеление."
ttdesc_content_18_103,"<TDName>[Ледяная болезнь]</> Если холод подействует 10 раз, это приведет к ледяной болезни. Лечение: Клиника, Источник,  Самоисцеление."
ttdesc_content_18_104,"<TDName>[Истерия]</> Низкий дух приводит к истерии. Слишком много истерии может вызвать заблуждение. Лечение: Клиника, Источник, Самоисцеление."
ttdesc_content_18_105,<TDName>[Ламповый червь]</> Отмечает паразитифера на карте. Лечение: Вылечитесь с помощью Внутреннего Кунг-фу <TDName>[Антитоксиновое заклинание]</> или попросите заклинателя удалить червя.
ttdesc_content_18_106,<TDName>[Кровопуч]</> При срабатывании крадет 1 ед. энергии у заклинателя. Лечение: вылечите себя с помощью Внутреннего Кунг-фу <TDName>[Заклинание против токсинов]</> или попросите заклинателя удалить червя.
ttdesc_content_18_107,<TDName>[Любовный червь]</> Вызывает близость с заклинателем и предотвращает негативное отношение. Лечение: вылечите себя с помощью Внутреннего Кунг-фу <TDName>[Заклинание против токсинов]</> или попросите заклинателя удалить червя.
ttdesc_content_18_109,<TDName>[Слепота]</> Глазная болезнь. Вы можете только слышать. Не можете использовать приемы Скрытым Оружием. Лечение: Клиника или самоисцеление.
ttdesc_content_18_110,"<TDName>[Сигил Испытания]</> Вступает в силу каждый день в полночь и полдень, случайным образом вызывая 3 приступа истерии. В большинстве случаев его невозможно удалить."
ttdesc_content_18_112,<TDName>[Инвалидность ног]</> Болезнь ног. Значительно снижает MSPD. Невозможно использовать приёмы ногами. Лечение: Клиника или самоисцеление.
ttdesc_content_2,"Когда вы используете Приём одного типа и добавляете {0}<TDName>[Универсальный приём]</>, после которого вы можете использовать любой другой тип Приёма."
ttdesc_content_29,"Предметы обмениваются друг на друга, и это происходит только в том случае, если это честно или если ваш партнер получает прибыль. \\nЕсли вы позволяете своему партнеру получать прибыль, это повышает его Симпатию.\\nВы можете взять больше предметов у того, кому вы нравитесь, но их Симпатия снизится."
ttdesc_content_3,"Одинаковые приёмы можно использовать подряд.\\nПроведите по стольким одинаковым Приёмам, по скольким сможете. Если у вас будет больше Приёмов, чем у оппонента, он сможет только принимать удары. \\nПосле перетаскивания через <TDName>[4 одинаковых Приёмов]</> за один раунд, будет нарисован 1 дополнительный Приём.\\nЭто поможет активировать Навык. Чтобы применить его, перетащите его в область каста."
ttdesc_content_30,"После того, как вы научитесь приручать животных, вы сможете приручать их, устанавливая ловушки с их любимым кормом или отправляя их в нокаут.\\nНа <TDName>[Лошадях]</> можно ездить верхом или запрягать в экипаж. Они любят дикую траву.\\n<TDName> [Орлы]</> могут переходить в режим ястребиного глаза и помогать отслеживать цели. Они любят мясо.\\n<TDName>[Обезьяны]</> могут выпрашивать и доставлять ресурсы. Они любят сосновые шишки и сливы.\\n<TDName>[Змеи]</> могут вскрывать замки и использовать яд, не причиняя вреда здоровью. Они любят мясо и яйца.\\n<TDName>[Куницы]</> подскажут вам, когда вы приблизитесь к Сокровищу. Чем ближе вы находитесь, тем чаще они подсказывают. Они любят мясо и яйца.\\n<TDName>[Куры]</> откладывают яйца каждый день. Они любят светлячков, мотыля, неразлучников и смертельных червей."
ttdesc_content_31,Вы можете получить <TDName>[Понимание кунфу] </> в бою или на манекене (тренировочная комната Секты). \\n<TDName>[Понимание кунг-фу]</> можно использовать для повышения уровня навыков.
ttdesc_content_32,"<TDName>[Если запас крови падает до 0]</>, вы страдаете от заболеваний меридианов.\\nЗапас крови можно восстановить, поспав, приняв ванну или приняв пищу или зелья.\\nВы можете <TDName> использовать по 1 предмету</> за ход в бою."
ttdesc_content_33,"<TDName>[Создать секту]</> Откройте социальные сети и потратьте деньги на создание своей собственной секты.\\n<TDName>[Вступить в секту]</> Просмотрите информацию о секте и требования для вступления на досках объявлений у ворот Секты. Вы можете вступить в секту, если соответствуете ее требованиям. После вступления вы можете просмотреть некоторые варианты в социальных.\\nЕсли вы соответствуете требованиям для вступления в секту, вы можете получить приглашение присоединиться по <TDName>Почте</>."
ttdesc_content_34,"<TDName>[Создайте флаг секты]</> Добавьте текущий регион к списку влияния вашей секты.\\n<TDName>[Стройте дома]</> Вы также можете добавить функциональные помещения, такие как клетки, продуктовые шкафы, книжные полки, манекены и кровати, для своих учеников. \\n<TDName>[Создайте правила секты]</> Став Мастером, вы сможете управлять своей сектой в социальных, устанавливая требования для вступления в секту, табу и налоговые правила. Участники должны соответствовать всем требованиям для вступления в вашу секту. Мы рекомендуем выбрать небольшое количество правил. \\n<TDName>[Вербовка]</> Общайтесь с другими людьми и приглашайте их присоединиться к вашей секте. Удовлетворите их требования, и они присоединятся. Другие участники также могут захотеть присоединиться, когда увидят ваши требования для участия.\\n<TDName>[Расширять влияние]</> В каждом регионе разрешен только один флаг секты. Вы можете взять под свой контроль регион, сняв флаг другой секты и установив свой собственный. Не являющиеся членами секты в регионе должны платить налоги в соответствии с налоговыми правилами секты."
ttdesc_content_35,"<TDName> [Отдать команду]</>Вы можете отдавать команды товарищам по секте, которые находятся на один уровень ниже по положению и редактировать подробное содержание на странице команд в социальном интерфейсе. \\n<TDName>[Репутация]</>, повышая благосклонность членов секты. в своей фракции вы можете повысить свою репутацию (бросая вызов членам секты, занимающим более высокие позиции в секте, и побеждая их, вы можете получить большую репутацию). Репутация может разблокировать разрешение на использование объектов в секторе и предложить скидки на обмен уникальными навыками, внутренними умениями, оборудованием и другими ресурсами."
ttdesc_content_36,"<TDName>[Обязанности]</>Когда ваша репутация будет соответствовать требованиям, предъявляемым к следующей должности, вы можете запросить оценку продвижения у руководителя, чтобы получить повышение. Чем выше должность, тем большим количеством учеников вы можете командовать.\\n<TDName>[Искусство обучения]</>На книжной полке секты хранятся все уникальные умения и внутренние скиллы, введенные лидером секты. Вы можете приобрести соответствующие уникальные умения и внутренние скиллы, чтобы повысить репутацию и сократить расходы.\\n<TDName>[Практика]</>Деревянные фигурки членов секты могут в совершенстве тренировать свои навыки в боевых искусствах, а те, кто бросает вызов боевым искусствам, могут получить опыт в боевых искусствах.\\n<TDName>[Товары]</>Различные коммерческие учреждения школы могут приобрести товары, а рост популярности приведет к снижению затрат."
ttdesc_content_37,"Колода приёмов по умолчанию содержит только <TDName> [1 приём ладонью, 1 приём кулаком и 1 приём ногой]</>.\\nВы получаете <TDName>[1 приём Скрытого оружия]</> после экипировки скрытого оружия и <TDName>[1 приём Оружия]</> после экипировки оружия.\\n<TDName>[Требуемое количество приёмов]</> будет добавлено к вашему навыку. Передвиньте колоду. Например, для [Черепашьего кулака] требуется 3 приёма кулака. После того, как вы экипируетесь, в вашу колоду будут добавлены 3 приёма кулака.\\nЕсли вы экипируете навык, требующий <TDName>[Приём оружием]</> без экипировки оружия, приём оружием не будут добавлены в вашу колоду приёмов. То же самое касается скрытого оружия."
ttdesc_content_38,"Вы можете использовать <TDName>[Защитный приём]</>, чтобы сохранить свои приёмы до следующего хода.\\nКак только вы достигнете <TDName>[Техника мудреца]</>, защитные приёмы могут скопировать<TDName> 2 </> приёма на следующий ход.\\nНекоторые предметы могут добавлять стартовые приёмы."
ttdesc_content_39,"<TDName>[Курильница]</> Делайте пожертвования, чтобы уменьшить беду. Люди могут заплатить, чтобы уменьшить беду.\\n<TDName>[Стол на 4]</> Простой деревянный стол на четверых. Люди могут заплатить, чтобы отдохнуть здесь.\\n<TDName>[Стол на 2]</> Роскошный столик с вином на двоих. Люди могут заплатить, чтобы отдохнуть здесь.\\n<TDName>[Больничная койка]</> Место, где можно дождаться исцеления. Люди могут заплатить, чтобы воспользоваться ею.\\n<TDName>[Полка для зелий]</> Место, где продают зелья. Люди могут покупать нужные им зелья.\\n<TDName>[Винная полка]</> Место, где продают еду и напитки. Здесь можно купить напитки.\\n<TDName>[Оружейная полка]</> Место, где продают оружие/скрытое ношение оружия. Люди могут купить здесь снаряжение.\\n<TDName>[Прилавок]</> Хранит ресурсы. Люди могут купить их здесь.\\n<TDName>[Продуктовый шкаф]</> Хранит материалы и товары. Люди могут купить материалы здесь.\\n<TDName>[Вешалка]</> Место, где продаются шляпы, топы и брюки. Люди могут приобрести здесь снаряжение.\\n<TDName>[Источник]</> Примите ванну, чтобы восстановить силы и излечиться от недугов. Люди могут заплатить за расслабление или исцеление.\\n<TDName>[Конюшня]</> Место, где продают лошадей и отправляются в дальние путешествия.\\n<TDName>[Книжный шкаф]</> Место для хранения руководств по навыкам и внутреннему кунг-фу. Люди могут приобрести пособия, чтобы улучшить себя.\\n<TDName>[Городской страж]</> Место для молитвы. Вы зарабатываете деньги, когда кто-то молится здесь."
ttdesc_content_4,После перетаскивания одного типа приёма и подключения{0} <TDName>[Изменяемого приёма]</>  вы можете преобразовать следующее Связанный приём в тип этого Изменяемого приёма.
ttdesc_content_40,"<TDName>[Костер]</> Место для приготовления пищи. Режим повышенной готовности позволяет готовить блюда более высокого качества. Вы также можете присвоить кострам статусы, соответствующие требованиям расширенных рецептов.\\n<TDName>[Фермерское поле]</> Место для выращивания трав. Используйте фекалии в качестве удобрений, чтобы ускорить рост.\\n<TDName>[Котел]</> Место для приготовления зелий. Высшее мастерство лекаря позволяет вам готовить более сложные зелья.\\n<TDName>[Печь]</> Место для ковки оружия и скрытого оружия. Более качественная ковка дает больше шансов на изготовление высококачественного оружия при больших затратах ресурсов.\\n<TDName>[Ткацкий станок]</> Место, где ткут шляпы, топы и брюки. Более качественное плетение дает больше шансов на изготовление высококачественной одежды за счет большего количества потребляемых ресурсов."
ttdesc_content_41,"<TDName>[Простая ловушка]</> Поместите ее на землю, чтобы нанести урон любому, кто на нее наступит.\\n<TDName>[Клетка]</> Удерживает врагов.\\n<TDName>[Башня лучника]</> Защищает от захватчиков. Позволяет прицеливаться в нападающих."
ttdesc_content_42,"Если вы управляете единственным заведением в мире, у людей не будет альтернативных вариантов\\nВы можете потратить деньги на <TDName>Рекламу</> вашего заведения. В течение некоторого времени клиенты будут выбирать именно ваше заведение, а не другие."
ttdesc_content_43,"<TDName>[Расширение Участков]</> — Вы получите Голубиную Почту после завершения Испытания. Нажмите и выберите опцию для расширения территорий. Также вы можете расширить территорию за деньги, купив возможность на корабле.\\n<TDName>[Климат Участков]</> — Некоторые участки имеют суровые условия с постоянным холодом, жарой или ядовитыми газами.\\n<TDName>[Особые Участки]</> — Каждый особый участок имеет свои условия. Для их установки необходимо выполнить указанные требования.\\n<TDName>[Случайные Участки]</> — Участки Влияния, Бандитов и Чудес генерируются случайным образом по мере роста мира."
ttdesc_content_44,"Используйте <TDName>[Чертежи]</>, чтобы разместить разработанные вами чертежи зданий.\\nВы можете добавлять объекты во время строительства или построить оболочку и добавить ресурсы позже.\\nПостройте больше зданий, чтобы повысить уровень своей способности [Строитель] и разблокировать больше шаблонов зданий."
ttdesc_content_45,"Нажмите [1=31], чтобы Подкрасться.\\nВ режиме Подкрасться отображается круг обнаружения. Когда внутренний круг приблизится к цели, вы будете обнаружены. Внешний круг обозначает диапазон звука.\\nНа восприятие людей и животных влияют различные факторы. Например, слепой человек более чувствителен к звукам.\\nПовысьте уровень своей скрытности и используйте стога сена и Полуночные мантии, чтобы уменьшить радиус своего обнаружения и снизить риск быть обнаруженным.\\nПолуночные мантии более эффективны ночью."
ttdesc_content_46,"Перед началом аукциона вы можете нажать кнопку Добавить аукционный товар, чтобы выставить свои собственные товары на аукцион.\\nПо окончании аукциона выручка от проданных товаров будет отправлена на ваш счет после вычета 10% аукционного сбора.\\nВаши непроданные товары будут возвращены в ваш инвентарь. Остальные товары будут представлены на следующем аукционе."
ttdesc_content_47,"<TDName>[Приветствие]</> Кнопка по умолчанию Q. Существа, находящиеся поблизости, откликнутся, и люди с Симпатией более 600, присоединятся к команде.\\n[<TDName>[Объединиться]</> Вы можете объединиться с людьми с Симпатией более 600.\\n<TDName>[Приказы]</> Кнопка по умолчанию E. В режиме Приказы вы можете отдавать приказы товарищам по команде в пределах определенного диапазона."
ttdesc_content_48,"<TDName>[Дебаты]</>Дебаты - это более мягкая форма борьбы, которую можно использовать для согласования торговых цен, предотвращения физических столкновений, облегчения отношений и даже создания альянсов. \\n<TDName>[Механика дебатов]</> Как только вы начинаете дебаты, конфронтация начинается автоматически. В каждом раунде вы можете разыгрывать до 9 словесных дуэлей из своей колоды словесных дуэлей для поединка.\\n<TDName>[Механика дебатов]</> В конце каждого раунда вы можете выбрать одну дополнительную открытую словесную дуэль из своей колоды словесных дуэлей в системе способностей для использования с помощью вашего набора для словесной дуэли.\\n<TDName>[Механика дебатов]</> В дебатах вы сражаетесь со своим оппонентом с помощью красноречия. Разница в вашем красноречии определяет, как продвигается верхняя планка противостояния.\\n<TDName>[Условия победы]</> Обе стороны начинают дебаты в том настроении, в котором они находятся на данный момент. Вы выигрываете, когда настроение оппонента становится равным 0.\\n<TDName>[Награды за победу]</> После победы в дебатах вы можете выбрать цель победы, чтобы повлиять на своего оппонента, например, снизить его настрой или вызвать восхищение по отношению к вам. Если вы соответствуете требованиям, предъявляемым к проведению словесных дуэлей в дебатах, вы можете выбрать более эффективные цели для достижения конечной победы.\\n<TDName>[Штраф за поражение]</> В случае проигрыша ваш боевой дух снижается на 30%."
ttdesc_content_49,"После открытия Небесных врат вы сможете изменить форму мира. \\nЧтобы изменить расположение мира, откройте карту и нажмите ""Изменить"" в правом нижнем углу. \\nВы можете поднять предмет, чтобы изменить его положение. Как только вы подтвердите, мир будет восстановлен в соответствии с вашими настройками. Нажмите ""Отмена"", чтобы вернуться к исходному макету."
ttdesc_content_5,"После перетаскивания <TDName>[3х различных приёмов]</> за один ход, будет добавлен один экстра приём."
ttdesc_content_50,"<TDName>[Изучайте навыки]</>: изучайте навык, чтобы получить метод его тренировки. Проверьте свой прогресс на странице навыка. Как только вы овладеете им полностью, вы сможете использовать навык.\\n<TDName>[Изучайте внутреннее кунг-фу]</>: Изучайте внутреннее кунг-фу, чтобы получить метод его тренировки. Проверьте свой прогресс на странице ""Меридиан"". Как только вы полностью овладеете этим навыком, вы сможете использовать его.\\n<TDName>[Изучите способности]</>: Изучите способность, которая увеличивает опыт, что позволяет быстрее совершенствоваться. Вы можете только спросить, выше ли уровень способностей другой стороны, чем у вас."
ttdesc_content_51,"<TDName>[Рейтинг силы]</>: По мере того, как кровь вашего персонажа достигает определенного значения, ваш рейтинг силы будет увеличиваться.\\n<TDName>[Уровень защиты]</>: Когда ваш рейтинг силы повышается, уровень вашей защиты также увеличивается. Чем выше уровень вашей защиты, тем меньше урона вы получаете."
ttdesc_content_52,"<TDName>[Нагрузка на акупунктурные точки]</>: Теперь у вас есть нагрузки на акупунктурные точки. Повышение уровня внутренней мощности приведет к снижению нагрузки на акупунктурные точки. Вы можете в любой момент снизить уровень внутренней мощности, чтобы восстановить нагрузку.\\nКоличество нагрузок на акупунктурные точки зависит от их уровня. Акупунктурные точки могут быть улучшены для улучшения характеристик и нагрузки на акупунктурные точки. Для улучшения необходимо обратиться в определенную секту."
ttdesc_content_53,"Подавленное состояние ума может привести к одержимости и приобретению скрытого безумия. Ослабленная воля будет ухудшать ваше настроение, вы можете выпить и послушать музыку, чтобы улучшить его. "
ttdesc_content_54,"Некоторые способности имеют блокировки способностей, и вам нужно использовать соответствующую книгу опыта, чтобы преодолеть верхний предел. Желтая полоска прогресса в значении способности заполнена, что означает, что она попала в узкое место и ее необходимо разблокировать с помощью книги опыта. "
ttdesc_content_55,"【Слот перемещения: представляет собой движение, которое животное готово к выполнению.Когда движение скользит в среднем положении, оно будет выполнено.Скорость скольжения определяется скоростью атаки.】 \\ N 【Количество оставшихся ходов: когда одна сторона пропускает ход, раунд закончится через 3 секунды.】 \\ N 【Количество раундов: текущее количество раундов.083 0right1kuohao \\ n 【Связь: когда точки связи достигают 4, уровень связи будет увеличен, а эффект связи будет получен.Точки связи отображаются желтой точкой рядом с связью.Слайд, чтобы выбрать, чтобы отобразить все связанные улучшения】 \\ n 【импульс и гнев: если импульс возвращается к 0, борьба зверя терпит неудачу.Если гнев будет заполнен, навыки животного будут выпущены】 \\ n"
ttdesc_content_56,"【Улучшение: в конце каждого раунда боевой зверь может получить улучшение.Значок, отображаемый выше, является связанной связью.После выбора, он предоставит точки связи】"
ttdesc_content_57,"【Движения: ходы представляют текущие шаги боевого зверя, которые будут использоваться в битве с боевым зверями и запускают некоторые эффекты】 \\ n 【Укрепление: Когда боевой зверь будет обновлен, он получит 1-3 времени случайного подкрепления.Нажмите кнопку «Подкрепление», чтобы добавить эффект постоянного подкрепления к боевому зверям】 \\ n 【, связанный: Укрепление боевого зверя имеет разные принадлежности.Когда подкрепление соответствует количеству, уровень связи будет увеличен, а спецэффекты будут предоставлены】 \\ n 【Атрибуты: показать основные атрибуты боевого зверя】 \\ n 【талант: талант боевого зверя обладает разнообразными эффектами】 \\ n 【кормление: вы можете кормить пищу животных, чтобы вырастить его наоборот.Животное, исключите соответствующую личность, и личность повлияет на уровень связи】 \\ n 【Добавить личность: потреблять животное с другой личностью от этого животного, добавьте соответствующую личность, и личность повлияет на уровень связи】 \\ n 【【【【【【【【【【【【【【【【【【【【【【【【【【【【【【【【【【【【【【【【【【【【【【【【【【【【【【【【【【【【【【【【【【【【【【【【【【【【【【【【【【【【【【【【【【【【【【【【.Новое животное будет случайным образом унаследовать личность и таланты обеих сторон. Уровень боя: боевой опыт будет получен в боевых сражениях независимо от того, борется ли оно или терпит неудачу.Когда опыт достигнет индикатора, уровень боевых действий будет обновлен и укреплен."
ttdesc_content_6,"После подключения {0}<TDName>[Защитного приёма]</> вы можете скопировать следующий подключенный приём в следующий ход, чтобы на поле было больше приёмов."
ttdesc_content_7,"Извлеките энергию Ци из поля <TDName>[Внутреннего эликсира] </>, соедините необходимые акупунктурные точки в правильном порядке, затем снова соедините с полем <TDName>[Внутреннего эликсира]</>, чтобы активировать внутреннее кунг-фу.\\nКаждый <TDName>1</> слот, подключенный [щелчком], стоит<TDName> 1 </>Ци.\\n[Двойной щелчок] по Меридиану для отключения."
ttdesc_content_8,"<TDName>[Ячейки]</> в меридианах обозначают максимальное количество здоровья персонажа.\\nБолезни повреждают меридианы и снижают уровень здоровья. Когда здоровье падает до 0, персонаж умирает.\\nЧтобы избавиться от недугов, подключите Ци ко всем <TDName>[Недугам того же рода]</>, и они будут излечены через некоторое время.\\nЕсли у вас слишком много недугов, вы можете обратиться за лечением в клинику."
ttdesc_content_9,"При перетаскивании приёма <TDName> [Счетчики Контрприёмов]</> отображаются по мере их появления.\\nЕсли вы отбиваете более половины от общего количества ходов вашего противника, вы вводите <TDName> [Время контратаки]</>.\\nПосле контратаки последующие приёмы противника отменяются.\\nНаведите курсор на желтые точки в поле боя, чтобы увидеть таблицу встречных ударов."
ttdesc_craft_item,Нажмите <GuideRed>Создать предмет</>
ttdesc_equip_equipment,Надеть новое снаряжение
ttdesc_equip_equipment_GamePad,"Открыть меню, выбрать роль, надеть новое снаряжение"
ttdesc_equip_skill,Использовать новый навык
ttdesc_equip_skill_GamePad,"Открыть меню, выбрать роль и экипировать новые школы"
ttdesc_gp_7,Откройте карту и нажмите в любом месте
ttdesc_gp_7_1,И выберите отметку для отметки
ttdesc_gp_8,Подойдите к цели и нажмите
ttdesc_move,Переместить персонажа
ttdesc_open_btn_menu,Взаимодействовать
ttdesc_open_map,Просмотр карты
ttdesc_open_self_menu,Открыть собственное меню
ttdesc_or,или
ttdesc_pc_1,Используйте <GuideRed>WASD</> или <GuideRed>щелчок мыши</>
ttdesc_pc_10,Нажмите в верхней части интерфейса
ttdesc_pc_11,Откройте способности <GuideRed>Нажмите {0}</>
ttdesc_pc_12,Откройте предметы <GuideRed>Нажмите {0}</>
ttdesc_pc_13,Медитируйте <GuideRed>Нажмите {0}</>
ttdesc_pc_14,Просмотр Небесных Свиток. <GuideRed>Нажмите {0}</>
ttdesc_pc_15,Во время подъема нажмите <GuideRed>{0}</>
ttdesc_pc_16,Открыть навыки <GuideRed>Нажмите {0}</>
ttdesc_pc_16_1,Открыть снаряжение <GuideRed>Нажмите {0}</>
ttdesc_pc_17,Открыть социальный <GuideRed>Нажмите {0}</>
ttdesc_pc_18,Открыть сборку <GuideRed>Нажмите {0}</>
ttdesc_pc_19,Удерживайте <GuideRed>{0}</>
ttdesc_pc_2,Удерживайте <GuideRed>правую кнопку мыши</>
ttdesc_pc_20,Нажмите <GuideRed>{0}</> под водой
ttdesc_pc_21,Нажмите <GuideRed>{0}</> или щелкните <GuideRed>Me</>
ttdesc_pc_22,Наведите курсор <GuideRed>Mouse</> на <GuideRed>себя</>
ttdesc_pc_23,В режиме скрытности нажмите <GuideRed>{0}</>
ttdesc_pc_24,Find <GuideRed>Quest Giver</> and Interact -> <GuideRed>Assist</> -> <GuideRed>Quest</> to submit quest
ttdesc_pc_25,Открыть создание <GuideRed>Нажмите {0}</>
ttdesc_pc_26,Открыть рюкзак <GuideRed>Нажмите {0}</>
ttdesc_pc_3,Удерживайте <GuideRed>колесо прокрутки</>
ttdesc_pc_4,Время просмотра: Долгое нажатие<GuideRed> {0}</> или <GuideRed>посмотрите на солнце</>
ttdesc_pc_5,Меню персонажа <GuideRed>Нажмите {0}</> или щелкните <GuideRed>ваш аватар</>
ttdesc_pc_6,Карта <GuideRed>Нажмите {0}</> или щелкните <GuideRed>Компас</> в правом нижнем углу
ttdesc_pc_7,Откройте карту и щелкните в любом месте
ttdesc_pc_8,Подойдите к цели и нажмите <GuideRed>{0}</> или нажмите кнопку взаимодействия<GuideRed></>
ttdesc_pc_9,<GuideRed>Нажмите {0}</>Двигайтесь быстрее <GuideRed>{1}</>Используйте Qinggong
ttdesc_press,Нажать
ttdesc_press_hold,Удерживать
ttdesc_push,Нажать
ttdesc_qing_gong,Примени цигун
ttdesc_recover_neili_qixue,Восстановить энергию
ttdesc_skill_level_up,Вход на экран персонажа - Выберите навык - Нажмите <GuideRed>「Улучшить навык」</>
ttdesc_tag_map,Можно отметить
ttdesc_task,Просмотреть мои задания
ttdesc_title_1,Базовый бой
ttdesc_title_10,Ослабление
ttdesc_title_11,Внутренние травмы
ttdesc_title_12,Торговля
ttdesc_title_13,Прирученное животное
ttdesc_title_14,Понимание кунг-фу
ttdesc_title_15,Кровь
ttdesc_title_16,Создать/Вступить в Секту
ttdesc_title_17,Возможности внутри секты
ttdesc_title_18,Развитие секты
ttdesc_title_19,Руководить сектой
ttdesc_title_2,Универсальный приём
ttdesc_title_20,Расширение колоды приёмов
ttdesc_title_21,Добавление начальных приёмов
ttdesc_title_22,Бизнес-объекты
ttdesc_title_23,Производственные объекты
ttdesc_title_24,Защитные объекты
ttdesc_title_25,Увеличение дохода от бизнеса
ttdesc_title_26,Участки
ttdesc_title_27,Строительство
ttdesc_title_28,Скрытность
ttdesc_title_29,Аукционный дом
ttdesc_title_3,Комбо приёмы
ttdesc_title_30,Приветствие/Объединение/Заказ
ttdesc_title_31,Дебаты
ttdesc_title_32,Размещение Снова
ttdesc_title_33,Узнать
ttdesc_title_34,Рейтинг силы
ttdesc_title_35,Акупунктурные точки
ttdesc_title_36,Низкое состояние ума порождает скрытое безумие
ttdesc_title_37,Узкое Место
ttdesc_title_38,Зверя борьба
ttdesc_title_39,Усовершенствование борьбы с зверями
ttdesc_title_4,Изменяемый прием
ttdesc_title_40,Борьба с зверями
ttdesc_title_5,Неожиданные приёмы
ttdesc_title_6,Защитные приёмы
ttdesc_title_7,Активировать Внутренний Кунг‑Фу
ttdesc_title_8,Здоровье
ttdesc_title_9,Контрприёмы
ttdesc_use_wanbaquan_item,Использовать <GuideRed>Tortoise Fist</>
ttdesc_use_wanbaquan_item_GamePad,Выбрать предметы
ttdesc_view_ability,Просмотреть способность
ttdesc_view_battle_guide,Просмотреть руководство по бою
ttdesc_view_time,Просмотреть текущее время
unlock_collection_operate_desc,"Нажмите на коллекцию, чтобы просмотреть"
unlock_destiny_num,Открыть Карму
unlock_sandbox_desc,Вы можете создавать новые миры в My Miniworld в главном меню. Ваш персонаж может путешествовать между несколькими Miniworlds.
unlock_tile_operate_desc,"Нажмите значок, чтобы разблокировать лот"
unlock_tile_operate_desc_gamepad,Согласно <img id=Gamepad_FaceButton_Bottom/> Разблокировка земли
upn_type_0,<ArguPnType0>Идиома</>
upn_type_1,<ArguPnType1>Вид</>
upn_type_2,<ArguPnType2>Злонамеренный</>
very_strong,<ShiLi_5>「Непостижимо мощный」</>
very_weak,<ShiLi_1>「Недостойный противник*」</>
weather_0,Солнечно
weather_1,Дождливо
weather_2,Снег
weather_condition_1,Солнечно
weather_condition_10,Снежная буря
weather_condition_7,Дождь
weather_condition_extra,(Помолитесь о погоде в City Guardian)
world_animal_reborn_speed,Восстановление животных
world_animal_reborn_speed_0,Обычный
world_animal_reborn_speed_1,Медленный
world_animal_reborn_speed_2,Быстрый
world_default,Новый мир
world_environment,Особый ландшафт
world_environment_0,Случайный
world_environment_1,Умеренный
world_environment_2,Холодный
world_environment_3,Пустыня
world_environment_4,Ядовитый газ
world_environment_5,Обжигающий
world_expansion_type,Расширение влияния
world_expansion_type_0, Нормальный
